Registro de Trazas eliminadas
________________________________________________________________________________________
Usuario:lixanis          Acción:Modificado          Tipo de componente:UPS          Num inventario:004-30          Fecha y hora:01-08-2014 10:46:08          
Usuario:lixanis          Acción:Modificado          Tipo de componente:UPS          Num inventario:006-17          Fecha y hora:01-08-2014 10:58:39          
Usuario:yaneisi          Acción:Modificado          Tipo de componente:UPS          Num inventario:0080-7          Fecha y hora:01-08-2014 11:10:37          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Fotocopiadora          Num inventario:2222222          Tipo de componente:Fotocopiadora          Fecha y hora:16-04-2014 17:10:41          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Fotocopiadora          Num inventario:3333333          Tipo de componente:Fotocopiadora          Fecha y hora:16-04-2014 17:12:22          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:4444444          Tipo de componente:Computadora          Fecha y hora:16-04-2014 17:12:52          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:16-04-2014 17:13:44          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:11111111          Tipo de componente:Computadora          Fecha y hora:17-04-2014 19:18:29          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:666666          Tipo de componente:Computadora          Fecha y hora:19-04-2014 09:26:10          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:19-04-2014 12:04:40          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222222          Tipo de componente:Computadora          Fecha y hora:19-04-2014 12:06:12          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:3333333333          Tipo de componente:Computadora          Fecha y hora:19-04-2014 12:41:55          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:222222          Tipo de componente:Computadora          Fecha y hora:19-04-2014 12:56:53          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:19-04-2014 13:12:47          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:33333          Tipo de componente:Computadora          Fecha y hora:19-04-2014 13:16:22          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:222222          Tipo de componente:Computadora          Fecha y hora:19-04-2014 13:18:05          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:44444          Tipo de componente:Computadora          Fecha y hora:19-04-2014 13:20:17          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Fotocopiadora          Num inventario:55555555          Tipo de componente:Fotocopiadora          Fecha y hora:19-04-2014 13:21:20          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Gabinete          Num inventario:014-91          Tipo de componente:Gabinete          Fecha y hora:19-05-2014 15:38:43          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:14:37          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:17:51          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:19:24          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:20:01          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:20:41          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Computadora          Num inventario:rafael          Tipo de componente:Computadora          Fecha y hora:20-05-2014 15:21:39          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Tipo de componente:Monitor          Fecha y hora:20-05-2014 15:21:42          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 11:08:35          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 11:58:46          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 11:59:01          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:45:50          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:48:55          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:57:55          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:58:14          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:59:23          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 14:59:39          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:00:22          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:01:12          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:01:28          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:02:36          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:03:19          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:21-04-2014 15:03:31          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:43:43          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:48:41          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222222          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:50:15          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:52:38          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222222          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:53:05          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:33333333          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:56:57          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:59:16          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:44444444          Tipo de componente:Computadora          Fecha y hora:22-04-2014 12:59:44          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 13:09:46          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:222222222          Tipo de componente:Computadora          Fecha y hora:22-04-2014 13:10:45          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Convertidor sdi hdmi          Num inventario:111111          Tipo de componente:Convertidor sdi hdmi          Fecha y hora:22-04-2014 13:50:09          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Bocinas          Num inventario:11111111          Tipo de componente:Bocinas          Fecha y hora:22-04-2014 13:53:07          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Convertidor sdi hdmi          Num inventario:545454543          Tipo de componente:Convertidor sdi hdmi          Fecha y hora:22-04-2014 13:54:11          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:55555555          Tipo de componente:Computadora          Fecha y hora:22-04-2014 18:11:40          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 18:20:08          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222222          Tipo de componente:Computadora          Fecha y hora:22-04-2014 18:20:52          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111111          Tipo de componente:Computadora          Fecha y hora:22-04-2014 18:35:47          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:11111111          Tipo de componente:Computadora          Fecha y hora:23-04-2014 07:49:06          
Usuario:rafael          Acción:Movimiento interno          Tipo de componente:Computadora          Num inventario:0070-12          Tipo de componente:Computadora          Fecha y hora:23-04-2014 11:50:06          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111111111          Tipo de componente:Computadora          Fecha y hora:23-04-2014 11:55:07          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:5555555          Tipo de componente:Computadora          Fecha y hora:23-04-2014 12:03:28          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:444444          Tipo de componente:Computadora          Fecha y hora:23-04-2014 16:03:53          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Computadora          Num inventario:1111111111          Tipo de componente:Computadora          Fecha y hora:24-07-2014 13:10:25          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Bocinas          Num inventario:1111111111          Tipo de componente:Bocinas          Fecha y hora:24-07-2014 13:16:18          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Bocinas          Num inventario:1111111111          Tipo de componente:Bocinas          Fecha y hora:24-07-2014 13:18:11          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Bocinas          Num inventario:1111111111          Tipo de componente:Bocinas          Fecha y hora:24-07-2014 13:19:58          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:11111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:21:46          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:33:49          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:35:55          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:111111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:39:19          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:43:45          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:22222          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:55:30          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:4444          Tipo de componente:Computadora          Fecha y hora:28-04-2014 08:57:41          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:444444          Tipo de componente:Computadora          Fecha y hora:28-04-2014 09:03:44          
Usuario:rafael          Acción:Eliminado          Tipo de componente:Computadora          Num inventario:444444          Tipo de componente:Computadora          Fecha y hora:28-04-2014 09:04:24          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 09:27:26          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 12:20:52          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:1111          Tipo de componente:Computadora          Fecha y hora:28-04-2014 13:00:54          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Computadora          Num inventario:4444          Tipo de componente:Computadora          Fecha y hora:28-04-2014 14:22:19          
Usuario:rafael          Acción:Insertado por primera vez          Tipo de componente:Bocinas          Num inventario:0080-6          Tipo de componente:Bocinas          Fecha y hora:30-05-2014 08:25:28          
Usuario:nilo          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Fecha y hora:05-05-2014 08:47:25          
Usuario:nilo          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Fecha y hora:05-05-2014 08:54:08          
Usuario:nilo          Acción:Movimiento interno          Tipo de componente:Monitor          Num inventario:7-342          Fecha y hora:05-05-2014 08:54:42          
